Vendor Name,Category,Purchasing_Document,Start_Date,End_Date,Mandated_Use,P_card,Vendor_Contact,Notes,Trim_URL
Aaken Corporation Inc,Data Communications Products and Services,31001021,04/28/2017,04/27/2022,Yes,No,"Andy Vogt
541-520-1244
avogt@aakencorp.com",,https://trim.portlandoregon.gov/mobile?q=C31001021&t=Record
Accurate Corporate Services,Surplus Disposition,31000999,03/15/2017,03/14/2022,Yes,No,"Devin Bynon
503-682-6825
devin@acs-jei.com",Disposition of surplus office items.,https://trim.portlandoregon.gov/mobile?q=C31000999&t=Record
Almaluna LLC,Language and Translation Services,31000631,12/24/2014,10/31/2024,Yes,No,"Jessica Dover
503-421-1137
jessica@almalunaspanish.com","<ul>
<li>Interpretation</li>
<li>Translation</li>
<li>Spanish only</li>
</ul>",https://trim.portlandoregon.gov/mobile?q=c31000631&t=Record
Amazon,General Merchandise,31001558,07/01/2019,01/18/2024,No,Yes,https://www.amazon.com/businessprime,"Pcard only, using City account.",https://trim.portlandoregon.gov/mobile?q=C31001558&t=Record
AMG Fiber Optic Technologies Inc,Data Communications Products and Services,31001022,04/28/2017,04/27/2023,Yes,No,"Michelle Graham
503-349-1802
andrew@amgfot.com",,https://trim.portlandoregon.gov/mobile?q=c31001022&t=Record
Anixter Inc,Data Communications Products and Services,31002042,08/23/2021,08/22/2026,No,Yes,"Sandy Witt
503-906-4100
sandy.witt@anixter.com",,https://trim.portlandoregon.gov/mobile?q=C31002042&t=Record
Aramark Uniform Services Inc,"Laundry Services ",31001127,10/01/2017,09/30/2022,Yes,No,"Todd Sherrell
503-408-3683
sherrell-todd@aramark.com",,https://trim.portlandoregon.gov/mobile?q=C31001127&t=Record
Ash Creek Forest Management LLC,"Natural Area Habitat Restoration ",31001708,02/24/2020,02/23/2025,Yes,No,"Brad Burke
503-515-2606
bburke@ashcreekforestry.com",,https://trim.portlandoregon.gov/mobile?q=c31001708&t=Record
Associated Petroleum Products,Fuel Supply,31001226,01/01/2018,12/31/2022,Yes,No,"Katie Justin
503-807-7466
kjustin@gotoapp.com",,https://trim.portlandoregon.gov/mobile?q=C31001226&t=Record
Baker Rock,Aggregates and Hauling,31000908,09/01/2016,08/31/2022,Yes,No,"Griffin Peal
503-642-2531
GriffinPeal@baker-rock.com",Includes disposition of earthen materials.,https://trim.portlandoregon.gov/mobile?q=c31000908&t=Record
Beyond Uniforms & Apparel Inc,"T-shirts and Custom Printed Apparel ",31001156,10/22/2018,10/21/2023,Yes,No,"Lori Kosmos
503-533-5555
lori@beyondoregon.com",,https://trim.portlandoregon.gov/mobile?q=C31001156&t=Record
Central Welding Supply Co Inc,"Medical and Industrial Gases ",31001312,04/10/2018,04/09/2028,Yes,Yes,"Mark Waldbillig
360-454-5540
markwaldbillig@centralwelding.com",,https://trim.portlandoregon.gov/mobile?q=c31001312&t=Record
Cessco Inc,"Power Tools Sales and Service ",31001669,11/18/2019,11/17/2024,Yes,Yes,"Jerome Lape
503-288-1242
Jerome@cessco.com",,https://trim.portlandoregon.gov/mobile?q=C31001669&t=Record
Corporate Translation Services Inc,Language and Translation Services,31000737,07/01/2015,10/31/2024,No,No,"Mo Tabbakh
360-823-2287
mo.tabbakh@ctslanguagelink.com","<ul>
<li>Interpretation, telephone-based</li>
<li>Multiple languages</li>
</ul>
",https://trim.portlandoregon.gov/mobile?q=c31000737&t=Record
Crescent Electric Supply Company,"Electrical Parts and Supplies ",31001007,05/01/2017,04/30/2022,Yes,No,"Mike Palmer
503-222-4000
mike.palmer@cesco.com",,https://trim.portlandoregon.gov/mobile?q=C31001007&t=Record
Delta Connects Inc,On-Call Mechanical Services,31001622,08/15/2019,08/14/2024,Yes,No,"Dale Neely
971-266-5640
dneely@deltaconnects.com",,https://trim.portlandoregon.gov/mobile?q=C31001622&t=Record
DKI Consultants LLC,Industrial Hygiene Services,31001610,08/01/2019,07/31/2022,Yes,No,"Noal Kraft
noal@g2ci.com
503-852-2911",,https://trim.portlandoregon.gov/mobile?q=C31001610&t=Record
DP Nicoli Inc,Trench Supplies,31000474,09/26/2013,09/26/2023,Yes,No,"Shay Nanna
503-612-8215
snanna@dpnicoli.com",,https://trim.portlandoregon.gov/mobile?q=c31000474&t=Record
DPI Group Inc,Temporary Staffing Services,31001798,07/15/2020,02/24/2022,No,No,"Sheri Stiverson-Thomas
503-331-3809
sthomas@dpistaffing.com ",,https://trim.portlandoregon.gov/mobile?q=C31001798&t=Record
DPI Group Inc,Flagging Services,31002112,12/01/2021,10/03/2023,No,No,"Sheri Stiverson-Thomas
503-331-3853
sthomas@dpistaffing.com ",,https://trim.portlandoregon.gov/mobile?q=C31002112&t=Record
Earth Care Designs,"Arborist Services ",31001236,02/01/2018,01/31/2023,Yes,No,"Damien Carre
971-230-4003
admin@oregontreecare.com",,https://trim.portlandoregon.gov/mobile?q=C31001236&t=Record
EC Company,On-Call Electrical Services,31001613,09/01/2019,08/31/2024,Yes,No,"Dave Bond
503-729-5534
dave.bond@ecpowerslife.com",For labor only.  Not for equipment or supplies.,https://trim.portlandoregon.gov/mobile?q=C31001613&t=Record
