ID,Title,"Term ID",Name
1162,"New Employee and Role Change or Promotion Bio Process",101,"PBOT Communications"
1150,"🧡💁‍♀️PBOT Employee Newsletter: Don't you just love it when WOMEN💁‍♀️🧡",233,Newsletter
1150,"🧡💁‍♀️PBOT Employee Newsletter: Don't you just love it when WOMEN💁‍♀️🧡",234,"Street Cred"
1147,"Active Transportation and Safety Equity Committee",489,"PBOT Equity"
1147,"Active Transportation and Safety Equity Committee",491,"ATS Equity"
1138,"PBOT Lunch and Learn: How Development Shaped Portland’s Street System",418,"PBOT Lunch and Learn"
1137,"PBOT Lunch and Learn: IAP2 mini-course for PBOTters: Emotion, Outrage + Public Participation Follow-Up",418,"PBOT Lunch and Learn"
1127,"POWR Tuesday Morning Office Hours",44,"Employee Training"
1126,"POWR Tuesday Morning Office Hours",44,"Employee Training"
1125,"POWR Tuesday Morning Office Hours",44,"Employee Training"
1124,"POWR Tuesday Morning Office Hours",44,"Employee Training"
1123,"POWR Thursday Afternoon Office Hours",44,"Employee Training"
1122,"POWR Thursday Afternoon Office Hours",44,"Employee Training"
1121,"POWR Thursday Afternoon Office Hours",44,"Employee Training"
1120,"POWR Thursday Afternoon Office Hours",44,"Employee Training"
1117,"PBOT Racial Equity Plan",490,"PBOT Racial Equity Plan"
1116,"Apply for a Solar Permit using DevHub- Lunch and Learn",43,"Lunch and Learn"
1112,"🗣🚎⭐PBOT Employee Newsletter: All Aboard! Streetcar Rider Ambassadors & Two New Columns Edition🗣🚎⭐",234,"Street Cred"
1101,"Tips for Writing Intranet News Articles: An Intranet News Article",289,"intranet migration"
1101,"Tips for Writing Intranet News Articles: An Intranet News Article",233,Newsletter
1101,"Tips for Writing Intranet News Articles: An Intranet News Article",104,Intranet
1101,"Tips for Writing Intranet News Articles: An Intranet News Article",290,"content editors"
1101,"Tips for Writing Intranet News Articles: An Intranet News Article",64,"BDS News"
1099,"BDS Cascadia Rising Open House on Mar 8th & Mar 10th",486,"Cascadia rising"
1099,"BDS Cascadia Rising Open House on Mar 8th & Mar 10th",487,BICP
1099,"BDS Cascadia Rising Open House on Mar 8th & Mar 10th",488,"open house"
1099,"BDS Cascadia Rising Open House on Mar 8th & Mar 10th",100,"emergency management"
1097,"Single PDF User Guide",248,Amanda
1097,"Single PDF User Guide",238,"Single PDF Process"
1097,"Single PDF User Guide",97,ProjectDox
1097,"Single PDF User Guide",426,"plan review"
1096,"Accessing ProjectDox Via AMANDA",248,Amanda
1096,"Accessing ProjectDox Via AMANDA",238,"Single PDF Process"
1096,"Accessing ProjectDox Via AMANDA",97,ProjectDox
1095,"General Instructions: ProjectDox for Reviewers using Single PDF",238,"Single PDF Process"
1095,"General Instructions: ProjectDox for Reviewers using Single PDF",426,"plan review"
1094,"Uploading Into ProjectDox (Single PDF)",484,"file upload"
1094,"Uploading Into ProjectDox (Single PDF)",238,"Single PDF Process"
1094,"Uploading Into ProjectDox (Single PDF)",97,ProjectDox
1090,"New Employee Orientation Materials",480,"NEO Materials"
1090,"New Employee Orientation Materials",481,"NEO Contents"
1090,"New Employee Orientation Materials",482,"NEO Forms"
1087,"🧡PBOT Employee Newsletter: Happy Black History Month Edition🧡",234,"Street Cred"
1082,"New Employee Announcement: Biography & Photo",391,"New Employee Onboarding"
1082,"New Employee Announcement: Biography & Photo",378,"new employee"
1082,"New Employee Announcement: Biography & Photo",20,"BDS Communications"
1081,"Drawings, Documents, and City Attachments Folders",97,ProjectDox
1081,"Drawings, Documents, and City Attachments Folders",425,"projectdox review"
1081,"Drawings, Documents, and City Attachments Folders",426,"plan review"
1080,"Single PDF Frequently Asked Questions",238,"Single PDF Process"
1074,"❗Critical PBOT-wide Information for Sept. 17-23❗",233,Newsletter
1074,"❗Critical PBOT-wide Information for Sept. 17-23❗",235,"The Scoop"
1072,"PBOT Lunch and Learn: IAP2 mini-course for PBOTters: Emotion, Outrage + Public Participation",43,"Lunch and Learn"
1072,"PBOT Lunch and Learn: IAP2 mini-course for PBOTters: Emotion, Outrage + Public Participation",418,"PBOT Lunch and Learn"
1072,"PBOT Lunch and Learn: IAP2 mini-course for PBOTters: Emotion, Outrage + Public Participation",422,"Internal Event"
1061,"General Inquiries Contact - on More Portland.gov/BDS Webpages",23,"BDS Front Desk"
1057,"Bias Awareness Training",421,"bias awareness training"
1056,"🎇🎉PBOT Employee Newsletter: That's a Wrap 2021 Edition 🎉🎇",233,Newsletter
1056,"🎇🎉PBOT Employee Newsletter: That's a Wrap 2021 Edition 🎉🎇",234,"Street Cred"
1055,"🧡PBOT Employee Newsletter: Have a Safe Holiday Weekend Edition 🧡",233,Newsletter
1055,"🧡PBOT Employee Newsletter: Have a Safe Holiday Weekend Edition 🧡",234,"Street Cred"
1054,"🍂🍁PBOT Employee Newsletter: Don't Stop Be-LEAF-ing Edition!🍁🍂",234,"Street Cred"
1054,"🍂🍁PBOT Employee Newsletter: Don't Stop Be-LEAF-ing Edition!🍁🍂",233,Newsletter
