ID,Title,"Term ID",Name
35,"Training Level 1 - Exercise Instructions",6,level_1_and_2
36,"Training Level 1 - Outline New Web Users",6,level_1_and_2
37,"Training Level 2 - Exercise Instructions",6,level_1_and_2
38,"Training Level 2 - Outline",6,level_1_and_2
39,"Training Level 1",6,level_1_and_2
40,"Training Level 2",6,level_1_and_2
41,"Web Vocabulary Handout",6,level_1_and_2
42,"Working with PDFs Online - Handout",6,level_1_and_2
43,"Homepage Configuration Worksheet",7,migration_support
44,"Migrations Steps for the Refresh Project",7,migration_support
249,"Hiring Manager's Checklist",28,"Recruitment and Training"
250,"Hiring Timeline",28,"Recruitment and Training"
257,"Interview Panel Development",68,"New Hires"
279,"Anatomy of a Permit Number",50,"BDS Permits"
280,"Anatomy of a Land Use Review Number",69,"Land Use Review"
335,"New Employee Technology & Facilities Setup",68,"New Hires"
336,"Promotion Announcement Form",68,"New Hires"
337,"Reference Record Form",68,"New Hires"
338,"Request to Hire Form",68,"New Hires"
339,"Writing Interview Questions",68,"New Hires"
340,"Illness in the Workplace Guidelines and Workflow",71,COVID-19
341,"Employee Exit Questionnaire",72,"Exiting Employee"
342,"Oral Exit Interview",72,"Exiting Employee"
343,"Retirement Announcement Information Form",72,"Exiting Employee"
344,"Employee Handbook Acknowledgement Form",68,"New Hires"
345,"Manager Onboarding Instructions",68,"New Hires"
346,"Ride Along Form to Sign",68,"New Hires"
347,"Sample Orientation Schedule",68,"New Hires"
348,"Start Date Calculator",68,"New Hires"
349,"Building Official Determination Request Form",73,"Building Official Determination"
350,"2017 Pay Equity Act",74,EEOC
351,"Bureauwide Emails Guidance",27,"BDS Training"
352,"Bureau-sponsored Retirement Events.pdf",27,"BDS Training"
353,"Employee Hiring Offer Information",68,"New Hires"
354,"FTE Worksheet",75,Staffing
355,"Guide for One on One Meetings",27,"BDS Training"
356,"Management Leave Award Guidelines and Form",76,"Management Leave"
357,"Management Principles and Expectations",77,"Management Training"
358,"Onboarding Guide for Managers (Pilot)",77,"Management Training"
359,"Supervisor's Guide to Coaching Collision Prevention",77,"Management Training"
360,"Workweek Schedule Change Review and Approval",77,"Management Training"
361,"Is this a Safety Issue or a Personnel Concern?",78,"Incident Reporting"
362,"Workplace Injury Protocol",78,"Incident Reporting"
363,"Handling Work-Related Injuries Presentation",78,"Incident Reporting"
466,"Training/Exam Request Form",27,"BDS Training"
466,"Training/Exam Request Form",30,"Development Services Training"
471,"Recommended Order of ePlans CityLearner Courses",96,ePlans
471,"Recommended Order of ePlans CityLearner Courses",97,ProjectDox
471,"Recommended Order of ePlans CityLearner Courses",98,projects
502,"ProjectDox User Update 5/24/21",27,"BDS Training"
502,"ProjectDox User Update 5/24/21",96,ePlans
502,"ProjectDox User Update 5/24/21",50,"BDS Permits"
522,"Standard BDS PowerPoint Template",102,Powerpoint
567,"Projectdox User Update May 28, 2021",27,"BDS Training"
567,"Projectdox User Update May 28, 2021",57,Training
567,"Projectdox User Update May 28, 2021",97,ProjectDox
567,"Projectdox User Update May 28, 2021",50,"BDS Permits"
568,"PBOT Communications Services Guide",12,"Employee Guide"
569,"PBOT Phone Standards for Telephone Triage",12,"Employee Guide"
574,"ProjectDox User Update 6/8/2021",27,"BDS Training"
574,"ProjectDox User Update 6/8/2021",97,ProjectDox
621,pdox-user-update-6.15.21-1.pdf,97,ProjectDox
621,pdox-user-update-6.15.21-1.pdf,27,"BDS Training"
621,pdox-user-update-6.15.21-1.pdf,44,"Employee Training"
646,"Branding and Identity Guide",36,"Style Guide"
649,"ProjectDox Applicant Update 6.23.21",97,ProjectDox
649,"ProjectDox Applicant Update 6.23.21",27,"BDS Training"
812,pdox-user-update-6.30.21_0.pdf,27,"BDS Training"
812,pdox-user-update-6.30.21_0.pdf,97,ProjectDox
815,"ProjectDox User Update 7.7.21",97,ProjectDox
818,"Workforce Management Report July 2021",116,"workforce, management, report"
820,ibps-january-2018.pdf,117,"Customer Service Training"
821,"BDS Customer Service Commitment",117,"Customer Service Training"
822,"BDS Customer Service Solutions Learning Guide",117,"Customer Service Training"
823,"BDS Mission Goals Values",117,"Customer Service Training"
824,"BDS Customer Service Training Notes",117,"Customer Service Training"
826,motor-pool-faq-updated-fy21-22.pdf,121,"Motor Pool, FAQ"
827,motor-pool-quick-facts_updated-fy21-22.pdf,122,"Motor Pool"
828,welcome-to-keyvalet.pdf,122,"Motor Pool"
829,"ProjectDox User Update 7.20.21",97,ProjectDox
853,"BDS Residential Training Plan Form",191,"5-year residential training program"
854,"BDS Residential Building Evaluation Form",191,"5-year residential training program"
855,"BDS Residential Electrical Evaluation Form",191,"5-year residential training program"
856,"BDS Residential Mechanical Evaluation Form",191,"5-year residential training program"
857,"BDS Residential Plumbing Evaluation Form",191,"5-year residential training program"
858,"ProjectDox User Update 7/28/2021",97,ProjectDox
862,pdox-user-update-8.3.21_1.pdf,97,ProjectDox
878,"Employee Cell Phone Numbers",209,"Phone Numbers"
880,"Front Desk Quick Topics",42,"Job Aids"
881,"Back Desk Duties",42,"Job Aids"
882,"Front Desk Coverage Quick Guide",42,"Job Aids"
891,"ProjectDox User Update 8.11.21",97,ProjectDox
892,"Front Desk Flipbook",42,"Job Aids"
893,"Call Quality Guidelines",42,"Job Aids"
894,"Difficult Customers",42,"Job Aids"
895,"Customer Service Tips for BDS FDAS - tool from Brad Taylor Group training",42,"Job Aids"
896,"Tips for Responding to Difficult Customers",42,"Job Aids"
897,"Tips for Assisting Walk-in Customers",42,"Job Aids"
898,"Tips for Nonverbal Communication",42,"Job Aids"
922,"Quick Reference Guide",42,"Job Aids"
923,"Appeals (Building, Trade & Floating Structure only)",42,"Job Aids"
924,"Track-It Routing For Extension and Reactivation Requests",42,"Job Aids"
956,"Quick Guide Routing Calls",23,"BDS Front Desk"
957,"Teleworking - Accessing ProjectDox",27,"BDS Training"
957,"Teleworking - Accessing ProjectDox",44,"Employee Training"
957,"Teleworking - Accessing ProjectDox",57,Training
958,"Accessing ProjectDox Via AMANDA",27,"BDS Training"
958,"Accessing ProjectDox Via AMANDA",44,"Employee Training"
958,"Accessing ProjectDox Via AMANDA",57,Training
959,"ProjectDox on City Computers",27,"BDS Training"
959,"ProjectDox on City Computers",57,Training
960,"ProjectDox on Windows (Personal Computers)",27,"BDS Training"
960,"ProjectDox on Windows (Personal Computers)",44,"Employee Training"
960,"ProjectDox on Windows (Personal Computers)",205,"Job Training"
961,"ProjectDox on Mac",27,"BDS Training"
961,"ProjectDox on Mac",44,"Employee Training"
961,"ProjectDox on Mac",57,Training
962,"ProjectDox on iPad",27,"BDS Training"
962,"ProjectDox on iPad",44,"Employee Training"
962,"ProjectDox on iPad",57,Training
963,"ProjectDox on Android",27,"BDS Training"
963,"ProjectDox on Android",44,"Employee Training"
963,"ProjectDox on Android",57,Training
964,"Screen Display Resolution",27,"BDS Training"
964,"Screen Display Resolution",44,"Employee Training"
964,"Screen Display Resolution",57,Training
965,"Outlook Mailbox Rule",27,"BDS Training"
965,"Outlook Mailbox Rule",44,"Employee Training"
965,"Outlook Mailbox Rule",57,Training
966,"Determine Jurisdiction with Portland Maps",23,"BDS Front Desk"
967,"ProjectDox AMANDA Status Guide",27,"BDS Training"
967,"ProjectDox AMANDA Status Guide",44,"Employee Training"
